company_id,company_name,total_sign_in_count,diff_from_previous_day,ffg_id
6700,"DXシステム検証用",126,126,"15eddf81-552b-44e2-b17d-d3229126fb8a, 30eb932a-d61d-48c1-bbc3-a465bf24c914, 4a0af385-ffd4-409d-abf1-27207d7d76f0, e7fd587c-57eb-423c-8043-3815c87bb094, f56ad9b2-3ebe-43d5-a915-48114ab14d73"
6703,"エメラダ株式会社（テスト）",124,124,"09a4e2c2-2993-4215-b569-10950d665a3e, 4a25405b-6266-48e2-94b5-b74d89d212b4, 7a69b3af-a935-4617-a7c9-9171a3039183, cff9f1ae-9679-4811-9170-1fe699b10e2c, e968bd0c-3465-4419-b378-7afbd4bd3afd"
6932,"DXシステム検証用",12,12,"2a8e9a90-6593-4280-a935-7ef4dc45f8af, 4a0af385-ffd4-409d-abf1-27207d7d76f0, 73ca7aa8-0545-44b1-93c0-c2335209b0f4"
7505,"熊本銀行営業推進部ダイレクトバンキングセンターテスト用",17,17,"e83a0cc3-db1c-42ad-9305-2e07dbee4a01"
7520,"株）十八親和銀行　デジタル化推進部",34,34,"3af74730-7be3-4511-b6f7-5fd5dc62907a, 8e75995c-d24e-4eb6-99a2-2568bd8a6443, b6eeffec-aa70-4943-8163-101fa94056e9, f0ebedd1-e4c4-407c-bcbc-fde5af906439"
7530,"福岡銀行ＩＢＥＢチームＥＢテスト用口座",3,3,"6d85b2f3-5792-4a3e-9ef5-f626890dde40"
7531,"福岡銀行ＩＢＥＢチームＥＢテスト用口座",6,6,"17fedc1f-7088-4a4e-947b-7e5e5218ce53"
7540,"iBankマーケティング株式会社",0,0,"f56ad9b2-3ebe-43d5-a915-48114ab14d73"
7541,"社会福祉法人ともしび福祉会",3,3,"768ee323-34e5-48bf-936a-9481102fe7fd"
7544,"医療法人洗心会児嶋病院",1,1,"c5ec2d0f-6934-4250-9716-99ac60f47f18"
7549,"有限会社高濱塗装工業",2,2,"f8693b7e-95a3-42e1-a6b5-094116053542"
7562,"MSD合同会社",1,1,"5446d0d8-195a-4c97-b39b-c20813ef6a6c"
7563,"サン電子工業株式会社",3,3,"2875a47c-a95c-47c2-833b-73b3b0e7ba16"
7564,"SPD",0,0,"9d767d71-aa8c-4aa2-aeb1-7f7b2aceccd3"
7565,"株式会社タケダ",1,1,"98897291-5061-41ef-ad62-88fd518324d7"
7566,"CIGリアルター株式会社",1,1,"b6d8dcdf-95f3-4279-af19-ebf3803f8841"
7568,"柳川みやま土木組合",0,0,"79b47e41-0b8e-4662-9b27-8edfbd58e52f"
7569,"株式会社祐水コンサルタント",1,1,"ae53aa4a-169f-4312-bc65-04825d4a95e1"
7571,"有限会社富士オートセンター",1,1,"d8d5de34-681a-415d-84ea-38ee626fd75d"
7575,"弁護士法人豊前総合法律事務所",1,1,"10bd0ca0-5bdc-4d9f-9847-b8f94b735e31"
7576,"西南自動車工業株式会社",1,1,"3be02ea8-9c9a-4bb0-ae79-7789759c0b7e"
7577,"株式会社キャップドゥーエデュケーションズ",3,3,"35cfd14b-b824-4b74-a5da-96a28153af7f"
7578,"社会福祉法人如月会",5,5,"74d6d288-381a-4690-a1b1-3be4b81abac3"
7579,"有限会社桜木電業",1,1,"2ad273ee-a657-4b56-b557-f12c50e9a1a4"
7580,"株式会社ヒラオカコーポレーション",2,2,"a6f6f53c-c2e6-4ea3-bf32-056ca1924f59"
7581,"医療法人社団大同会ニュー琴海病院",0,0,"d833119c-6f8c-4a6d-ad19-fd16ca3a6ffd"
7583,"有限会社メディケアファーマシー田口",5,5,"ec1b5316-1919-45f8-8fd1-a7342db9a965"
7586,"株式会社つくす",6,6,"4bb28934-4413-40e0-8f04-a99ae9c7ef2e"
7587,"株式会社ごうや薬局",1,1,"e80cd6cb-1e7b-4ab0-a46e-f458c3b30b4d"
7588,"オギハラ食品株式会社",1,1,"29e90aad-986d-4cea-952d-38e94cc93f1d"
7591,"おおばでんき",8,8,"73450243-0918-4136-b635-17b7d7e64238"
7592,"株式会社Reclaim.tech",1,1,"e57fc6c4-2df5-490b-a073-0d1b34561d87"
7598,"株式会社アットマーク",0,0,"deb0de4b-1a9c-4803-8ea1-19c8dd803c86"
7599,"株式会社和吉",1,1,"625e174f-b4ee-46f1-980b-d30d65595fd9"
7601,"イデアパートナーズ株式会社",1,1,"bd047a6e-ba3a-4ba4-9bd6-c54b51e75174"
7603,"株式会社アウルクリエイティブ",1,1,"30368000-1466-4903-943b-d541b76b5058"
7604,"施設紹介サービスOcT",1,1,"d20466c1-d374-47ce-a8f8-51c4bac90ae2"
7605,"福岡矢口株式会社",1,1,"c5628510-15cf-4b59-9062-ffd3310f527e"
7610,"福岡矢口株式会社",0,0,"c5628510-15cf-4b59-9062-ffd3310f527e"
7611,"株式会社ふるくま",0,0,"ee79f7a7-234b-4905-a0ee-949a922a2c76"
7615,"ハウス技建",2,2,"2f010185-4df3-46c5-a0e9-359a06c47eed"
7620,"有限会社池部製材所",1,1,"36c6434f-f4a1-40f3-839b-11afe75d5be6"
7621,"有限会社グローバルコーポレーション",1,1,"b2684484-513f-4b70-acf5-046f8d68386b"
7623,"福岡矢口株式会社",0,0,"c5628510-15cf-4b59-9062-ffd3310f527e"
7647,"有限会社　廣瀬製作所",3,3,"34518de7-17f1-4f50-a978-4c638e023a72"
7652,"株式会社タケダ",0,0,"98897291-5061-41ef-ad62-88fd518324d7"
